Datetime,Open,Close,High,Low,value,Volume,Datetime,extr,Разметка,neural_trends
2017-03-22,162.01,162.92,162.92,159.75,6586523211.4,40877170.0,2017-03-22,,buy,1.0
2017-03-23,163.5,164.15,164.84,162.1,6332000331.6,38722220.0,2017-03-23,,buy,1.0
2017-03-24,164.0,164.52,165.9,163.07,5442276482.8,33041260.0,2017-03-24,max,sell,0.0
2017-03-27,163.03,162.69,163.37,161.1,5747342963.7,35418700.0,2017-03-27,,sell,0.0
2017-03-28,163.5,163.66,164.1,162.05,4971819967.0,30489200.0,2017-03-28,,sell,0.0
2017-03-29,164.0,163.22,164.9,162.37,4275633841.6,26160370.0,2017-03-29,,sell,0.0
2017-03-30,163.32,163.5,164.1,161.9,3981999668.3,24410850.0,2017-03-30,,sell,0.0
2017-03-31,163.4,159.8,163.7,159.51,5094871408.6,31639970.0,2017-03-31,,sell,0.0
2017-04-03,160.77,161.8,162.94,159.84,5287146510.1,32726400.0,2017-04-03,,sell,0.0
2017-04-04,161.37,163.5,163.95,160.7,3789024448.8,23333230.0,2017-04-04,min,buy,1.0
2017-04-05,164.33,168.1,168.45,163.82,9623815655.2,57753380.0,2017-04-05,,buy,1.0
2017-04-06,167.54,167.49,168.19,166.41,4090698387.9,24422020.0,2017-04-06,,buy,1.0
2017-04-07,166.12,161.49,166.84,160.71,9744745429.1,59739010.0,2017-04-07,max,sell,0.0
2017-04-10,161.0,155.2,161.39,154.51,11548278934.7,73718410.0,2017-04-10,,sell,0.0
2017-04-11,155.2,156.0,158.59,154.61,8379332854.4,53342100.0,2017-04-11,,sell,0.0
2017-04-12,157.0,150.28,157.44,150.28,8168758811.2,53279800.0,2017-04-12,,sell,0.0
2017-04-13,151.57,152.0,153.35,149.7,10616261149.1,70013640.0,2017-04-13,,sell,0.0
2017-04-14,150.42,149.24,152.25,148.6,3772556350.9,25092420.0,2017-04-14,min,buy,1.0
2017-04-17,149.44,153.99,154.2,147.62,7312223641.2,48418090.0,2017-04-17,,buy,1.0
2017-04-18,154.44,153.4,155.59,152.15,9373104156.1,60882590.0,2017-04-18,,buy,1.0
2017-04-19,153.18,153.6,155.38,152.36,6006368511.9,38955390.0,2017-04-19,,buy,1.0
2017-04-20,153.0,158.21,158.4,152.26,9967956368.9,64127430.0,2017-04-20,,buy,1.0
2017-04-21,158.74,159.59,160.3,157.8,9113848242.0,57187090.0,2017-04-21,,buy,1.0
2017-04-24,161.09,162.5,163.43,161.0,7795803533.7,48021380.0,2017-04-24,,buy,1.0
2017-04-25,163.0,162.55,163.53,161.31,6588171646.1,40534410.0,2017-04-25,,buy,1.0
2017-04-26,163.08,165.05,165.8,161.7,8068611971.9,49259630.0,2017-04-26,,buy,1.0
2017-04-27,164.99,164.69,165.79,163.27,7193390744.4,43712420.0,2017-04-27,,buy,1.0
2017-04-28,165.5,165.2,166.0,163.91,6771043231.3,40999710.0,2017-04-28,,buy,1.0
2017-05-02,166.0,166.64,168.34,165.01,7109603271.5,42498180.0,2017-05-02,,buy,1.0
2017-05-03,166.3,164.71,166.5,163.63,5532940128.1,33570350.0,2017-05-03,,buy,1.0
2017-05-04,164.62,165.5,167.4,163.78,6238052591.8,37623080.0,2017-05-04,,buy,1.0
2017-05-05,164.22,165.8,166.6,164.0,5861269525.6,35495540.0,2017-05-05,,buy,1.0
2017-05-10,167.0,170.8,170.8,166.41,7853777784.0,46474510.0,2017-05-10,,buy,1.0
2017-05-11,171.0,169.97,172.39,168.84,9667508132.2,56593530.0,2017-05-11,,buy,1.0
2017-05-12,169.75,167.7,170.43,166.85,6286902322.8,37355540.0,2017-05-12,max,sell,0.0
2017-05-15,168.5,171.35,171.68,167.89,8000111823.7,47099400.0,2017-05-15,,sell,0.0
2017-05-16,170.97,170.66,172.0,169.98,6359705115.8,37205990.0,2017-05-16,,sell,0.0
2017-05-17,169.8,169.24,170.63,168.17,5972642510.9,35218260.0,2017-05-17,,sell,0.0
2017-05-18,168.41,166.5,169.17,164.7,9558033922.9,57482410.0,2017-05-18,,sell,0.0
2017-05-19,167.48,168.87,170.08,165.71,6132186211.4,36552330.0,2017-05-19,,sell,0.0
2017-05-22,170.5,168.03,170.5,167.14,5002659619.9,29679120.0,2017-05-22,,sell,0.0
2017-05-23,167.87,166.31,168.3,165.4,6593755611.6,39501140.0,2017-05-23,,sell,0.0
2017-05-24,166.8,165.7,168.48,162.51,7755908057.5,46891970.0,2017-05-24,,sell,0.0
2017-05-25,166.5,164.05,166.95,163.53,5674501383.3,34373440.0,2017-05-25,,sell,0.0
2017-05-26,163.8,160.7,163.8,160.62,7439429996.2,46062750.0,2017-05-26,,sell,0.0
2017-05-29,161.0,163.9,164.22,160.69,4678437609.3,28741460.0,2017-05-29,,sell,0.0
2017-05-30,163.15,161.64,163.45,161.17,3676741724.7,22672890.0,2017-05-30,,sell,0.0
2017-05-31,161.6,155.93,161.6,155.03,11701550678.4,74365770.0,2017-05-31,,sell,0.0
2017-06-01,156.4,153.0,156.76,152.72,7814012596.7,50590080.0,2017-06-01,,sell,0.0
2017-06-02,153.0,157.14,157.14,151.62,10112574850.5,65420920.0,2017-06-02,,sell,0.0
2017-06-05,157.1,154.7,158.89,154.43,7623722591.3,48595070.0,2017-06-05,,sell,0.0
2017-06-06,154.49,152.8,156.0,152.11,5331165014.9,34673910.0,2017-06-06,,sell,0.0
2017-06-07,153.3,152.82,155.11,151.75,6710167151.8,43663590.0,2017-06-07,,sell,0.0
2017-06-08,153.16,151.93,153.43,148.25,10234476574.8,67991950.0,2017-06-08,,sell,0.0
2017-06-09,151.41,150.13,153.75,150.12,6868686564.2,45312560.0,2017-06-09,,sell,0.0
2017-06-13,145.35,146.0,147.3,145.0,7800680365.8,53389650.0,2017-06-13,,sell,0.0
2017-06-14,145.65,143.0,145.65,142.81,8399759584.7,58225630.0,2017-06-14,,sell,0.0
2017-06-15,141.94,139.0,142.21,136.2,25298287188.4,183326250.0,2017-06-15,min,buy,1.0
2017-06-16,139.65,141.63,142.8,139.02,11234952215.4,79690200.0,2017-06-16,,buy,1.0
